,iou,detect
TCGA_HT_8113_19930809_10.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_11.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_12.tif,18.951612903225808,Detect
TCGA_HT_8113_19930809_13.tif,12.615992102665349,Detect
TCGA_HT_8113_19930809_14.tif,23.878287777204747,Detect
TCGA_HT_8113_19930809_15.tif,25.55842934399248,Detect
TCGA_HT_8113_19930809_16.tif,27.265851506365813,Detect
TCGA_HT_8113_19930809_17.tif,33.843638525564806,Detect
TCGA_HT_8113_19930809_18.tif,32.79265194449873,Detect
TCGA_HT_8113_19930809_19.tif,18.443738656987296,Detect
TCGA_HT_8113_19930809_2.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_20.tif,14.285714285714285,Detect
TCGA_HT_8113_19930809_21.tif,100,All_TN
TCGA_HT_8113_19930809_3.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_4.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_5.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_6.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_7.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_8.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_9.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_1.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_10.tif,15.549348230912477,Detect
TCGA_HT_8114_19981030_11.tif,36.59663865546218,Detect
TCGA_HT_8114_19981030_12.tif,64.73307141206378,Detect
TCGA_HT_8114_19981030_13.tif,72.4452901998097,Detect
TCGA_HT_8114_19981030_14.tif,74.05545927209705,Detect
TCGA_HT_8114_19981030_15.tif,77.31045932484781,Detect
TCGA_HT_8114_19981030_16.tif,73.93382352941177,Detect
TCGA_HT_8114_19981030_17.tif,81.84363558044367,Detect
TCGA_HT_8114_19981030_18.tif,79.16769878622739,Detect
TCGA_HT_8114_19981030_19.tif,69.19986608637429,Detect
TCGA_HT_8114_19981030_2.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_20.tif,52.327127659574465,Detect
TCGA_HT_8114_19981030_21.tif,100,All_TN
TCGA_HT_8114_19981030_22.tif,100,All_TN
TCGA_HT_8114_19981030_3.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_4.tif,100,All_TN
TCGA_HT_8114_19981030_5.tif,100,All_TN
TCGA_HT_8114_19981030_6.tif,100,All_TN
TCGA_HT_8114_19981030_7.tif,100,All_TN
TCGA_HT_8114_19981030_8.tif,100,All_TN
TCGA_HT_8114_19981030_9.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_1.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_10.tif,50.6294004693834,Detect
TCGA_HT_8563_19981209_11.tif,70.33943486760263,Detect
TCGA_HT_8563_19981209_12.tif,64.26053382575122,Detect
TCGA_HT_8563_19981209_13.tif,68.4729064039409,Detect
TCGA_HT_8563_19981209_14.tif,41.225912259122595,Detect
TCGA_HT_8563_19981209_15.tif,47.93266391021855,Detect
TCGA_HT_8563_19981209_16.tif,50.87108013937283,Detect
TCGA_HT_8563_19981209_17.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_18.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_19.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_2.tif,100,All_TN
TCGA_HT_8563_19981209_20.tif,100,All_TN
TCGA_HT_8563_19981209_21.tif,100,All_TN
TCGA_HT_8563_19981209_22.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_23.tif,100,All_TN
TCGA_HT_8563_19981209_3.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_4.tif,0.0,Mis_detect
TCGA_HT_8563_19981209_5.tif,100,All_TN
TCGA_HT_8563_19981209_6.tif,100,All_TN
TCGA_HT_8563_19981209_7.tif,0.0,Mis_detect
